Ref,X,Y,R,Side
FIDUCIAL,2.25,23.5,0,Top
FIDUCIAL,37.75,23.5,0,Top
FIDUCIAL,35.5,1.25,0,Top
FIDUCIAL,38.75,21,0,Bottom
FIDUCIAL,1.75,19.5,0,Bottom
FIDUCIAL,34,1.25,0,Bottom
A1,5.75,12.5,0,Top
A2,15.25,12.5,0,Top
A3,24.75,12.5,0,Top
A4,34.25,12.5,0,Top
C1,26.5,8,180,Bottom
C2,12.5,8.5,0,Bottom
Q1,6.88,20.63,90,Bottom
Q2,16.38,20.63,90,Bottom
Q3,25.88,20.63,90,Bottom
Q4,35.75,22.13,90,Bottom
R1,3.25,21.38,180,Bottom
R2,12.75,21.38,180,Bottom
R3,22.25,21.38,180,Bottom
R4,32.13,21.63,180,Bottom
R5,36.25,17,180,Bottom
R6,36.25,15.25,180,Bottom
R7,36.25,13.25,180,Bottom
R8,36.25,11.25,180,Bottom
R9,36.25,9.25,180,Bottom
R10,36.25,7.25,180,Bottom
R11,36.25,5.5,180,Bottom
R12,36.25,3.75,180,Bottom
R13,6,7.5,0,Bottom
R14,6,9.25,0,Bottom
R15,6,11,0,Bottom
R16,6,12.75,0,Bottom
R17,6,14.5,0,Bottom
R18,6,16.25,0,Bottom
U1,26.5,11.75,270,Bottom
U2,12.5,12.25,90,Bottom