Line,Reference,Quantity,Description,Package,Manufacturer,Part Number,Digi-Key P/N
1,A1,1,4X14-SEGMENT 10MM DISPLAY,N/A,N/A,N/A,N/A
2,"C1,C6",2,CAP CER 18PF 50V NP0 0603,0603,Samsung,CL10C180FB8NNNC,1276-2206-1-ND
3,"C2,C3,C4,C5,C8,C10,C14,C16,C17,C20,C22,C25,C26,C28",14,CAP CER 0.1UF 50V X7R 0603,0603,Samsung,CL10B104JB8NNNC,1276-1033-1-ND
4,"C7,C9",2,CAP CER 1UF 25V X7R 0603,0603,Samsung,CL10B105KA8NNNC,1276-1184-1-ND
5,C11,1,CAP CER 0.47UF 25V X7R 0603,0603,Samsung,CL10B474KA8NFNC,1276-2082-1-ND
6,"C12,C13",2,CAP 22 UF 20% 25 V,N/A,Wurth Electronics,865230443003,732-8260-1-ND
7,"C15,C18",2,CAP 47 UF 20% 25 V,N/A,Wurth Electronics,865230445005,732-8262-1-ND
8,"C19,C21,C23,C29",4,CAP CER 1000PF 50V X7R 0603,0603,Samsung,CL10B102JB8NNNC,1276-1194-1-ND
9,"C24,C27",2,CAP CER 100PF 50V C0G/NP0 0603,0603,Samsung,CL10C101FB8NNNC,1276-2159-1-ND
10,C30,1,CAP CER 47PF 50V NP0 0603,0603,Samsung,CL10C470FB8NNNC,1276-2293-1-ND
11,C31,1,CAP 10 UF 20% 25 V,N/A,Wurth Electronics,865230440002,732-8259-1-ND
12,"D1,D2",2,DIODE SCHOTTKY 40V 1A SOD123,SOD-123,Diodes Incorporated,1N5819HW-7-F,1N5819HW-FDICT-ND
13,H1,1,IDC BOX HEADER 0.050 10 POS,N/A,CNC Tech,3220-10-0300-00,1175-1629-ND
14,H2,1,CONN HEADER XH TOP 6POS 2.5MM,N/A,JST,B6B-XH-A(LF)(SN),455-2271-ND
15,H3,1,CONN HEADER VERT 10POS GOLD,N/A,On Shore Technology,302-S101,ED1543-ND
16,"J1,J2,J3,J4,J5,J6",6,THONKICONN 3.5MM JACK,N/A,Thonk,PJ301M-12,N/A
17,"P1,P2,P3,P4,P5,P6",6,B10K LINEAR 9MM POT,N/A,Thonk,"R0904N-B10K,L-25KQ",N/A
18,Q1,1,TRANS NPN 40V 0.2A SOT23,SOT-23,ON Semiconductor,MMBT3904LT1G,MMBT3904LT1GOSCT-ND
19,"R1,R2,R5",3,RES SMD 10K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF1002V,P10.0KHCT-ND
20,"R3,R30",2,RES SMD 1K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF1001V,P1.00KHCT-ND
21,R4,1,RES SMD 4.7 OHM 1% 1/2W 0805,0805,Panasonic,ERJ-6DQF4R7V,P19284CT-ND
22,"R6,R8,R17,R25,R26,R31",6,RES SMD 100K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF1003V,P100KHCT-ND
23,R7,1,RES SMD 330 OHM 1% 1/2W 0805,0805,Panasonic,ERJ-P6WF3300V,P16879CT-ND
24,"R9,R22,R29",3,RES SMD 200K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF2003V,P200KHCT-ND
25,"R10,R12,R13,R14,R15,R16,R18,R21,R23,R28,R32",11,RES SMD 24.9K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF2492V,P24.9KHCT-ND
26,R11,1,RES SMD 120K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF1203V,P120KHCT-ND
27,"R19,R27",2,RES SMD 49.9K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF4992V,P49.9KHCT-ND
28,"R20,R24",2,RES SMD 39K OHM 1% 1/10W 0603,0603,Panasonic,ERJ-3EKF3902V,P39.0KHCT-ND
29,"S1,S2",2,SWITCH TACTILE SPST-NO 0.02A 15V,N/A,Panasonic,EVQ-Q2K01W,P12941SCT-ND
30,S3,1,ENCODER ROTARY,N/A,Bourns,PEC11R-4220F-S0024,PEC11R-4220F-S0024-ND
31,U1,1,IC MCU 32BIT 128KB FLASH 48LQFP,LQFP-48,STMicroelectronics,STM32F103CBT6,497-6288-ND
32,U2,1,IC DAC 16BIT SNGL W/SPI 8VSSOP,VSSOP-8,Texas Instruments,DAC8551IADGKT,296-21222-1-ND
33,U3,1,IC VREF SHUNT 2.5V SOT23-3,SOT-23,Texas Instruments,LM4040B25IDBZR,296-20872-1-ND
34,U4,1,IC ADC 12BIT 2.7V 4CH SPI14TSSOP,TSSOP-14,Microchip Technology,MCP3204-CI/ST,MCP3204-CI/ST-ND
35,U5,1,IC REG LDO 3.3V 0.8A 8WSON,WSON-8,Texas Instruments,LM1117LD-3.3/NOPB,LM1117LD-3.3/NOPBCT-ND
36,U6,1,IC VREF SHUNT 10V SOT23-3,SOT-23,Texas Instruments,LM4040B10IDBZR,296-20869-1-ND
37,U7,1,IC OPAMP GP 1MHZ RRO 14TSSOP,TSSOP-14,Microchip Technology,MCP6004T-I/ST,MCP6004T-I/STCT-ND
38,U8,1,IC OPAMP JFET 3MHZ 14TSSOP,TSSOP-14,Texas Instruments,TL074CPWR,296-7198-1-ND
39,U9,1,IC OPAMP JFET 3MHZ 8TSSOP,TSSOP-8,Texas Instruments,TL072CPWR,296-7193-1-ND
40,X1,1,CRYSTAL 8.0000MHZ 18PF SMD,N/A,Abracon,ABM2-8.000MHZ-D4Y-T,535-10870-1-ND