Ref,X,Y,R
FIDUCIAL,35,103,0
FIDUCIAL,4,35,0
FIDUCIAL,37,3,0
C1,35.25,99.75,0
C2,30,98,90
C3,15.25,95.75,90
C4,11.75,95.75,270
C5,29,89,270
C6,19.75,89,0
C7,35.25,88.25,0
C8,36.75,83.5,0
C9,11.5,83.5,270
C10,9.75,83.5,270
C11,36.75,81.75,0
C12,7.5,77.5,180
C13,29.5,76,270
C14,9.25,62.25,180
C15,23.25,61.75,180
C16,32.25,60,0
C17,19.25,60,0
C18,35.5,53.5,90
C19,32.75,45.5,180
C20,31.75,38,90
C21,19.75,36,180
C22,11.25,35.5,180
C23,15.5,29.5,0
C24,32.5,26.5,90
C25,5.5,23.25,90
C26,12.75,22,270
C27,3,20.75,180
C28,21.25,19.75,0
C29,6.5,17.25,270
C30,34.5,12,90
C31,11.88,10,180
C32,7.5,6.5,270
D1,26.25,49.5,90
D2,23.5,49.5,270
H1,20,103.75,180
H2,4.5,98,180
H4,20,81.25,0
Q1,7.5,67.75,90
R1,13.5,95.75,90
R2,9.25,90.25,0
R3,9.25,88.5,0
R4,27.75,77.75,270
R5,10.5,67.75,270
R6,4.5,67.75,270
R7,27.5,67.25,270
R8,29,53.25,270
R9,11.25,39.75,0
R10,3.25,39.75,180
R11,33.5,38,270
R12,30,38,90
R13,11.25,37.25,180
R14,10.5,33,90
R15,34.25,32.75,0
R16,30.75,32.75,0
R17,8.75,31.5,90
R18,7,31.5,270
R19,25.5,27,90
R20,30.5,26.5,90
R21,3,24.25,180
R22,32.5,23,90
R23,27.5,23,270
R24,3,22.5,0
R25,30,22.25,180
R26,12.75,15.25,270
R27,2.5,15,90
R28,32.5,12,90
R29,30.5,12,270
R30,32.5,8,90
R31,14.5,7.5,90
R32,12.75,7.5,90
R33,11,7.5,270
S1,32.5,72,0
U1,24.5,93.5,270
U2,5,83.25,270
U3,24.5,76.25,270
U4,33.25,72,0
U5,20,68,180
U6,32.5,53.5,270
U7,20.25,39.5,90
U8,20,23.5,90
U9,9.25,19.5,0
X1,35.25,94,90